Date,Hour,Horse,Jockey,Position,Distance,Cuidador,Caballeriza,HorseNumber,PistaCondition,BornDate,Sex,Pelaje,Father,Mother,Grandfather,Breeder,HorseWeight,JockeyWeight
05/02/2024,17:00,MUIRFIELD,ASERITO MAXIMILIANO,5,1400,DUSSOL MANUEL P,LAS DOS NADIAS (CDU),11,ARENA | NORMAL,18-07-2020,MACHO,TORDILLO,SEAHENGE (USA),MACOYA,SLEW GIN FIZZ (USA),VACACION,516,57.8
05/02/2024,17:00,THE BEST ROCK,MARTINEZ ELIAS D,6,1400,TEDESCHI ALEJANDRO C,NEGRO T (LP),9,ARENA | NORMAL,24-09-2020,MACHO,ALAZAN,STAR IN YOU,ROCK SONG,NUMEROUS (USA),NEGRO T,494,56
05/02/2024,17:00,DE CAYETANO,ALLOIS ALEXIS A,7,1400,GUTIERREZ ROBERTO C,SIN FRONTERAS,5,ARENA | NORMAL,07-08-2020,MACHO,ZAINO,DE TROMPA,CON GLORIA,HONOUR AND GLORY (USA),LA IRENE,470,53
05/02/2024,17:00,STRATEGIC MONCARO,BARRUECO RAMIRO R,8,1400,SAUNDERS VICTOR M,EL REJUNTE (Rº),8,ARENA | NORMAL,12-08-2020,MACHO,ALAZAN,STRATEGIC PRINCE (GB),FANTASTICA STAR,STAR DABBLER (USA),LAS CASUARINAS,448,56
05/02/2024,17:00,BIEN DEL MAR,PILIERO SERGIO A,9,1400,DEGREGORIO MARCELO A,NORD,2,ARENA | NORMAL,05-09-2020,MACHO,ALAZAN,INCURABLE OPTIMIST (USA),MIRAMARE,MASTER OF HOUNDS (USA),HARAS CAÑADA NEGRA S. DE HECHO,448,56
05/02/2024,17:00,CATEDRATICO GOLD,BAEZ TOMAS D,10,1400,BERNS MARIO A,TIARA (VT),13,ARENA | NORMAL,28-08-2020,MACHO,ZAINO,LONG ISLAND SOUND (USA),NOT FADE AWAY,NOT FOR SALE,LA CATEDRAL DE PALERMO,507,52
05/02/2024,17:00,EL VERONES,PERALTA JORGE LUIS,11,1400,PEREZ MARCOS,CEMALE,14,ARENA | NORMAL,10-08-2020,MACHO,ZAINO COLORADO,LONG ISLAND SOUND (USA),GREVE IN CHIANTI,EASING ALONG (USA),HARAS LA SORTIJA SRL,451,56
05/02/2024,17:00,INSOSPECHADO FESTEJO,LA PALMA MARTIN A,12,1400,CASCIA JULIO C (H),OXIGENO,12,ARENA | NORMAL,27-07-2020,MACHO,ZAINO,HI HAPPY,INCOMBENZA,ROMAN RULER (USA),VACACION,480,56
05/02/2024,17:00,DEXTERETY,ENRIQUE BRIAN R,13,1400,INTRA JOSE L,JULIETA M (VT),4,ARENA | NORMAL,05-09-2020,MACHO,ZAINO,FORGE (GB),FOR LUCK (USA),THEATRICAL (IRE),FAUDA FEDERICO ANDRES Y URDAPILLETA FERN,503,56
05/02/2024,17:30,MOST PEINADA,MARINHAS ANDREA S,1,1200,SESSA GASTON A,SAUCE GRANDE (LP),4,ARENA | NORMAL,09-10-2018,HEMBRA,ZAINO,MOST IMPROVED (IRE),BIEN PEINADA,LUCKY ROBERTO (USA),SCALELLA LUIS ALBERTO,478,57
05/02/2024,17:30,VENI A FULL,NORIEGA COBIAN LUCAS J,2,1200,GARRIDO MARTIN M,EL 26,8,ARENA | NORMAL,25-07-2018,HEMBRA,ZAINO,FULL MAST (USA),VENI RAQUEL,HARLAN'S HOLIDAY (USA),DE LA POMME,556,57
05/02/2024,17:30,QUE TALENTOSA,GONCALVES FRANCISCO LEANDRO,3,1200,ALVAREZ MARIA F,PACO EL1 (LP),7,ARENA | NORMAL,19-09-2018,HEMBRA,ZAINO,EQUAL TALENT,RECONCILIATION (USA),BOB AND JOHN (USA),SAN LORENZO DE ARECO,460,57
05/02/2024,17:30,SUBVERSIVA JOHAN,BARRUECO RAMIRO R,4,1200,DIAZ MIGUEL A,JERBE (CBA),3,ARENA | NORMAL,22-09-2018,HEMBRA,ZAINO,CURIOSO JOHAN,REBELDE SOY,PERFECTPERFORMANCE (USA),LA CATEDRAL DE PALERMO,483,57
05/02/2024,17:30,CASSIA ANTICA,LA PALMA MARTIN A,5,1200,AVANZATTI RAMON JUAN J,ROSA MISTICA (MZA),1,ARENA | NORMAL,17-08-2018,HEMBRA,TORDILLO,CATCHER IN THE RYE (IRE),COSTA MAYA,EXCHANGE RATE (USA),SANTA INES,496,57.6
05/02/2024,17:30,MIRAME ROMA,ALEGRE PABLO I,6,1200,ORTIZ MAURICIO J,EL DIEGUITO (CBA),5,ARENA | NORMAL,17-09-2018,HEMBRA,ZAINO,TRUE CAUSE (USA),LUZ MAGIKA,DALHART (USA),SANCHEZ PAZ LAURA,434,56.1
05/02/2024,17:30,AGUJA ESCARLATA,MARTINEZ ELIAS D,7,1200,CABRERA ALFREDO A,LA CALIFORNIA (AZ),2,ARENA | NORMAL,08-09-2018,HEMBRA,TORDILLO,AEROSOL (BRZ),MARLENY,ROMANOV (IRE),DON TEO,454,57
05/02/2024,17:30,TERRA ETERNA,CACERES FRANKLIN D,8,1200,VERON AMENGUAL GASTON M,7 Y BUENA (LP),6,ARENA | NORMAL,04-09-2017,HEMBRA,ALAZAN,SIXTIES ICON (GB),TIMELY BROAD,PAINTER,LA PASION,458,53
05/02/2024,18:00,MAMBO ITALIANO,BARRIONUEVO SERGIO R E,1,1000,CAVIGLIA MARTINEZ NORBERTO F,GASTON IV (LP),12,ARENA | NORMAL,20-08-2019,MACHO,ZAINO,MANIPULATOR (USA),PASADA DE ROSCA,VAL ROYAL (FR),DON ARCANGEL,469,57.5
05/02/2024,18:00,HUMOR VIOLENTO,ENRIQUE BRIAN R,2,1000,GAITAN LUIS A,LA TUTINA (PNA),7,ARENA | NORMAL,23-08-2019,MACHO,ZAINO DORADILLO,HUMOR ACIDO,STORMY VIOLENTA,BERNSTEIN (USA),LA TUTINA,462,57
05/02/2024,18:00,HUMOR ROMANO,PAOLONI JUAN P,3,1000,RUDOLF ADRIAN E,BANDERA (SFE),4,ARENA | NORMAL,20-07-2019,MACHO,TORDILLO,HUMOR ACIDO,MUSICAL DI ROMA,ROMANOV (IRE),LA TUTINA,480,57
05/02/2024,18:00,ENVITE CANARIO,GONCALVES FRANCISCO LEANDRO,4,1000,MONDAZZI EDGARDO A,MATIAS Y YO (LP),1,ARENA | NORMAL,17-08-2019,MACHO,ZAINO,STRATEGIC PRINCE (GB),QUE JUGADORA,INDYGO SHINER (USA),LAS RAICES,460,57
05/02/2024,18:00,PUERTO FRIAS,ARMOHA LEOPOLDO M,5,1000,VAN TUYNE RICARDO A,EL PRINCIPE NICO (Rº),8,ARENA | NORMAL,30-07-2019,MACHO,ZAINO,MR. MAGIC (USA),BELLEZA (BRZ),NORTHERN AFLEET,BERNAGI,453,54
05/02/2024,18:00,SUMATE,LAVIGNA FRANCISCO J,6,1000,MEDINA CARLOS A,ENFANT'S GATE,9,ARENA | NORMAL,26-07-2019,MACHO,ALAZAN,SAFETY CHECK (IRE),SOLAMENTE TU,HALO SUNSHINE (USA),DON YAYO,448,57
05/02/2024,18:00,GRACIOSO NAK,FUENTES ARIEL C,7,1000,ILARIONE OMAR,JORGE MANAU (AZ),5,ARENA | NORMAL,16-09-2019,MACHO,ZAINO,ANAK NAKAL (USA),VIVA GRA,CITY DWELLER (USA),VADARKBLAR,448,57.5
05/02/2024,18:00,LAUQUEN LETAL,TORRES ROBERTO M,8,1000,BALDATTA ANDRES B,TAB Y LAB (AZ),3,ARENA | NORMAL,29-07-2019,MACHO,ZAINO,DON LETAL,TRIAQUITA,ALPHA PLUS (USA),DON IBALDO,481,57
05/02/2024,18:00,CLARO TEMBLOR,BELLOCQ GONZALO E,9,1000,RUDOLF ADRIAN E,BANDERA (SFE),2,ARENA | NORMAL,01-08-2019,MACHO,ALAZAN,CLARO OSCURO,AQUA DANCE,RUSSIAN BLUE (IRE),LA TUTINA,480,57
05/02/2024,18:00,MINDHUNTER,VILLALBA GUSTAVO N,10,1000,ALVAREZ MARIA F,GEORGE LAICED,6,ARENA | NORMAL,11-08-2019,MACHO,ALAZAN,COSMIC TRIGGER,MINDY,EQUAL STRIPES,ABOLENGO,503,57
05/02/2024,18:00,PITYQUELOCOESTAS,RECUERO LUCIANO M,11,1000,ROLDAN JOSE A,LOS VICAS (LP),11,ARENA | NORMAL,01-08-2019,MACHO,TORDILLO,HORSE GREELEY (USA),OLGA PERETYATKO,CIMA DE TRIOMPHE (IRE),LA NORA,524,53
05/02/2024,18:30,UN DIA CUALQUIERA,PERALTA JORGE LUIS,1,1000,ALMENDROS AGUSTIN,DON ARIEL (AZ),9,ARENA | NORMAL,22-08-2019,MACHO,ZAINO,LATIENDO,POR CLASUDA,IN CLASS (USA),LAS DOS MANOS,498,57
05/02/2024,18:30,CAVILLE,DOMINGUEZ LEANDRO E,2,1000,ALVAREZ EDGARDO N,MASAMA,1,ARENA | NORMAL,24-07-2019,MACHO,ALAZAN,NASHVILLE TEXAN,CAHERA,ANDROMEDA'S HERO (USA),MASAMA,577,55
05/02/2024,18:30,DONE DEAL,ASERITO MAXIMILIANO,3,1000,DUSSOL MANUEL P,LAS DOS NADIAS (CDU),7,ARENA | NORMAL,06-08-2019,MACHO,ZAINO,EQUAL STRIPES,DONNA HALO,HALO SUNSHINE (USA),ABOLENGO,499,57.3
05/02/2024,18:30,CHE MAFIOSO,BALMACEDA LAUTARO E,4,1000,LUQUE RUBEN D,JAVI (S.FE),5,ARENA | NORMAL,27-08-2019,MACHO,ZAINO,MANIPULATOR (USA),RUNFROMTHESTORM (USA),STORMY ATLANTIC (USA),LOSINNO PATRICIO FRANCISCO,505,57
05/02/2024,18:30,MATTHAUS,VALDEZ AGUSTINA B,5,1000,GOROSITO RAUL A,R.J.C (AZ),8,ARENA | NORMAL,17-09-2019,MACHO,ZAINO DORADILLO,VAGABUNDO INC,MAKITA,SIGFRID,EL DOGUITO,500,53
05/02/2024,18:30,DON BALBO,ENRIQUE BRIAN R,6,1000,ISAURRALDE ROBERTO M J,KUKY (GCHU),4,ARENA | NORMAL,05-10-2019,MACHO,ALAZAN,EMPEROR RICHARD,PODEROSA FIGURA,SEATTLE HOOFER (USA),ISAURRALDE ROBERTO MAXIMILIANO JAVIER,475,57
05/02/2024,18:30,FORSAL RAP,PEREYRA WILLIAM,7,1000,VARELA JAVIER E,LA FARAONA (LP),3,ARENA | NORMAL,16-09-2019,MACHO,ALAZAN,SALSERO KEY,FORTY RAK,FORTY FABULOSO,EL PIAMONTE,489,57
05/02/2024,18:30,AMADO EMPEROR,MARTINEZ ELIAS D,8,1000,ESCUDERO GUILLERMO A,4 H (AZ),2,ARENA | NORMAL,27-09-2019,MACHO,ZAINO,EMPEROR RICHARD,LOVEGIVING TYPE,VISION AND VERSE (USA),EL WING,436,57
05/02/2024,18:30,HERMES PASSION,TORRES ROBERTO M,9,1000,BALDATTA ANDRES B,HONOR A MIS AMIGOS (AZ),6,ARENA | NORMAL,22-09-2019,MACHO,ZAINO,EJEKUTOR,FASHION DESIGNER,SULTRY SONG (USA),PISANO NORBERTO FRANCISCO,513,57
05/02/2024,19:00,SUPER CORONA,ENRIQUE BRIAN R,1,1200,NIEVA DANTE D,EL PILI (TUC),8,ARENA | NORMAL,30-09-2018,HEMBRA,ZAINO,SUPER SAVER (USA),QUEEN SLAM,GRAND SLAM (USA),FIRMAMENTO,462,57.1
05/02/2024,19:00,CHE PAYASA,GOMEZ DARIO R,2,1200,SANCHEZ EZEQUIEL I,LAS BANDERITAS (LP),1,ARENA | NORMAL,16-08-2018,HEMBRA,ZAINO,MANIPULATOR (USA),FOX HUNTRESS,CANDY STRIPES (USA),LOSINNO PATRICIO FRANCISCO,473,57
05/02/2024,19:00,BLOOD STAR,CONTI SANTIAGO F,3,1200,AGUIRRE CARLOS E,LOS TIENTOS,2,ARENA | NORMAL,28-10-2018,HEMBRA,ZAINO,BLOOD MONEY,COLUMBUS STAR,INDYO SHINER (USA),LOS PRADOS,430,54.9
05/02/2024,19:00,JUGAR LA VIDA,BAEZ TOMAS D,4,1200,CHIAPPERO EDGAR G,DE LAS MERCEDES,6,ARENA | NORMAL,18-10-2018,HEMBRA,ZAINO,TANTOS AÑOS,STORMY FRENCH (USA),BERNSTEIN (USA),DON ARCANGEL,442,53.5
05/02/2024,19:00,TELU GOSS,RECUERO LUCIANO M,5,1200,ARRATIVEL ROBERTO A,CHIMPAY (SI),9,ARENA | NORMAL,01-11-2017,HEMBRA,ZAINO,MONTELU,GOLDEN GOSSN,HALO SUNSHINE (USA),CABRERA ALBERTO MAXIMO Y INTERSTAL SA,450,52.2
05/02/2024,19:00,REALNESS,CANDIA GUTIERREZ ELVIO G,6,1200,GUTIERREZ ROBERTO C,EL MENSUAL (VT),11,ARENA | NORMAL,21-10-2018,HEMBRA,ZAINO,FLESH FOR FANTASY,REBECCA,PETIT POUCET (GB),EL TURF,456,57
05/02/2024,19:00,DANIELA J,BENITEZ VERA JORGE R,7,1200,VEGA ROLANDO,EL TATA DE LAS MARIANAS (LP),4,ARENA | NORMAL,27-08-2018,HEMBRA,ZAINO DORADILLO,SEATTLE FITZ,OPEN STAR,ORPEN (USA),GRECO ROBERTO OSCAR Y TIANRO S.A.,440,54
05/02/2024,19:00,INDIA CIMA,GONCALVES FRANCISCO LEANDRO,8,1200,VINARDI OSCAR O,AMELIA (S.FE),3,ARENA | NORMAL,31-10-2018,HEMBRA,TORDILLO,CIMA DE TRIOMPHE (IRE),FREUDIANA REAL,FREUD (USA),INDIA MUERTA,478,57
05/02/2024,19:00,FOREST NYMPH,ASERITO MAXIMILIANO,9,1200,RIVOLLIER MICHAEL GIAN FRANCO,SUBLIME HORSE,10,ARENA | NORMAL,08-10-2018,HEMBRA,ZAINO,FULL MAST (USA),FOR FOREST,FORESTRY (USA),RECOVECO,450,57
05/02/2024,19:30,RONDA DE ASES,VELAZQUEZ CRISTIAN E,1,1600,MARTUCCI EDGARDO P,RODOLFO PEDRO,5,ARENA | NORMAL,08-09-2020,MACHO,ZAINO,FORGE (GB),LEATHER SALE,NOT FOR SALE,DON ARCANGEL,504,56.6
05/02/2024,19:30,CHANTA JOY,VALLE MARTIN J,2,1600,ETCHECHOURY JUAN MANUEL,FIRMAMENTO,2,ARENA | NORMAL,05-10-2018,MACHO,ZAINO,FORTIFY (USA),STORMY MARCHITA,BERNSTEIN (USA),FIRMAMENTO,517,60
05/02/2024,19:30,SER SINCERO,NORIEGA JUAN C,3,1600,ALVAREZ MARIA F,J.A. (SR),4,ARENA | NORMAL,28-08-2020,MACHO,ZAINO,FORTIFY (USA),STORMY LUNAR,BERNSTEIN (USA),VACACION,531,56.2
05/02/2024,19:30,TODOS LOS AMIGOS,SOSA MIGUEL A O,4,1600,BELLIER CLAUDIA L,TINTA ROJA (LP),6,ARENA | NORMAL,24-10-2020,MACHO,ALAZAN,QUE VIDA BUENA,DELIRIO POP,MANIPULATOR (USA),DON FLORENTINO,444,56
05/02/2024,19:30,SUFFOK,GIANNETTI ADRIAN M,5,1600,SCARPELLO GUSTAVO E,LOS BETOS (Rº),3,ARENA | NORMAL,13-07-2020,MACHO,ZAINO,FORGE (GB),STRIKE REWARD,GRAND REWARD (USA),HERITAGE BLOODSTOCK S. A.,456,56.3
05/02/2024,20:00,JOY FAMOSA,BASCUÑAN RODRIGO D,1,1200,GERVASONI DIONISIO M,DON CACHO (CDU),3,ARENA | NORMAL,16-11-2019,HEMBRA,ZAINO,FORTIFY (USA),FLEXA TREZE (BRZ),CRAFTY C.T.,HARAS SUDAMERICANO S.R.L.,493,57
05/02/2024,20:00,STAY NATURAL,FRIAS ROLANDO I,2,1200,ARGUELLO MIGUEL A,RAUL Y ROSA (LP),9,ARENA | NORMAL,06-08-2019,HEMBRA,ZAINO,HURRICANE CAT (USA),SOUTH SEA,GRAND SLAM (USA),VACACION,451,57.1
05/02/2024,20:00,BLACK SAILS,ALLOIS ALEXIS A,3,1200,ARGAÑARAZ HECTOR E (H),ESTRELLA DORADA (Rº),5,ARENA | NORMAL,11-09-2019,HEMBRA,ZAINO NEGRO,DONT WORRY,STORMY GONE (USA),BERNSTEIN (USA),BENEDIT BELTRAN,488,54
05/02/2024,20:00,ANGUISSOLA,ORTEGA PAVON EDUARDO,4,1200,CHIAPPERO EDGAR G,ALELUYA,1,ARENA | NORMAL,05-08-2019,HEMBRA,ZAINO,IDOLO PORTEÑO,ANIMAS,EASING ALONG (USA),POZO DE LUNA,450,57
05/02/2024,20:00,GLORY SPRING,NORIEGA COBIAN LUCAS J,5,1200,GLADES ARMANDO C,HS LA VIRYINIA (CBA),7,ARENA | NORMAL,29-10-2019,HEMBRA,ZAINO,GREENSPRING (USA),NUIT D' GLORY,HONOUR AND GLORY (USA),LA VIRYINIA,433,57
05/02/2024,20:00,AMIGUITA MARABUMAIPU,PERALTA JORGE LUIS,6,1200,PAGANTI PEDRO F,5 ESTRELLAS (AZ),2,ARENA | NORMAL,05-07-2019,HEMBRA,ZAINO,TODO UN AMIGUITO,AMIGUITA ENGRILLADA,FERROVIAL,DON NICO,418,57
05/02/2024,20:00,LA EVIDENCIA,FLORES JAIRO E,7,1200,MAYA GUILLERMO E,AMADO SUEÑO (AZ),6,ARENA | NORMAL,15-10-2019,HEMBRA,ZAINO,MOST IMPROVED (IRE),EVIDENZIARE,EMPEROR RICHARD,FRIZZO JOSE CARLOS Y NICOLA MARCELO,538,54
05/02/2024,20:00,MARTES SCAT,ALFARO MARCOS A,8,1200,ARRATIVEL ROBERTO A,ANA Y ANE (GGUAY),8,ARENA | NORMAL,13-08-2019,HEMBRA,ALAZAN,KNOCKOUT (CHI),FESTICHOLA INT,GRADEPOINT (USA),CARYJUAN,456,53
05/02/2024,20:00,FARAONA IN YOU,LAVIGNA FRANCISCO J,99,1200,TEDESCHI ALEJANDRO C,NEGRO T (LP),4,ARENA | NORMAL,05-11-2019,HEMBRA,ZAINO,STAR IN YOU,VILMA GIN,GIN RUMMY KING (USA),NEGRO T,514,57.5
05/02/2024,20:30,GRAN REVOLUCION,PERALTA JORGE LUIS,1,1200,MOSSI JUAN A,STUD EL LADRILLERO (CDIA),5,ARENA | NORMAL,29-09-2018,MACHO,ALAZAN,REVALUADO,GRAN NINA,GRANDIOSO,BURNA ALDO JAVIER,458,57.2
05/02/2024,20:30,PALPITEIRO,GONCALVES FRANCISCO LEANDRO,2,1200,FERREYRA JOSE I,DON ROSENDO (LP),10,ARENA | NORMAL,25-09-2018,MACHO,ALAZAN,STAR RUNNER,PALPITEIRA,ASPONE,CRESPO FELIX EDUARDO,494,57
05/02/2024,20:30,PEDRITO JAL,VALDEZ AGUSTINA B,3,1200,ARRATIVEL ROBERTO A,ANA Y ANE (GGUAY),3,ARENA | NORMAL,01-11-2018,MACHO,ZAINO,INVENTIVE,OJALITA,OHIO,GIMENEZ ROLANDO ATANASIO,431,53
05/02/2024,20:30,POUR PLAISIR,FLORES JAIRO E,4,1200,SAVAL ADRIAN A,LOLO Y SUSY (LP),12,ARENA | NORMAL,23-09-2018,MACHO,TORDILLO,UNBRIDLE'S DREAM (USA),POUR AMOUR,SNIPEWALK (USA),PERDOMO USANNA MARIA SUSANA,456,54.5
05/02/2024,20:30,SENSE FITZ,ALLOIS ALEXIS A,5,1200,ARRATIVEL ROBERTO A,LAS CHAPAS (GGUAY),8,ARENA | NORMAL,28-08-2017,MACHO,ZAINO,SEATTLE FITZ,SELTZIANA,SEATTLE HOOFER (USA),ESECE,427,52.1
05/02/2024,20:30,OFICIAL MAHARAJA,PAREDES LUCIANO A,6,1200,FREDES JONATHAN O,CASTELGRANDE (LP),7,ARENA | NORMAL,18-10-2018,MACHO,ZAINO,INDIAN MAHARAJA (IRE),DAMA OFICIAL,TAWQEET (USA),DON YEYE,435,54.5
05/02/2024,20:30,SEKELE,MARTINEZ ELIAS D,7,1200,RUIZ ROBERTO P,HS. LA ARGENTINA (AZ),11,ARENA | NORMAL,25-10-2018,MACHO,ZAINO,SEBI HALO,BAKASEKELE,INCURABLE OPTIMIST (USA),EL PARAISO,481,57
05/02/2024,20:30,GALAN RIG,BASCUÑAN RODRIGO D,8,1200,RIVAMAR ROBERTO E,LA MACHINE (LPT),13,ARENA | NORMAL,28-08-2018,MACHO,ZAINO,RIGGS,QUEENOFTHECULEBRIN,ART MASTER (USA),HARAS,466,57
05/02/2024,20:30,SEDUCIDOR INFIEL,CARRIZO PABLO D,9,1200,ZANCANARO JULIO E (H),HARAS DON LINO,6,ARENA | NORMAL,18-11-2018,MACHO,ZAINO,TWEAKER,KAMY SEDUCIDA,KAMYACHO,EL ENTRERRIANO,461,57
05/02/2024,20:30,AMARGO PICANTE,PEREYRA WILLIAM,10,1200,ROSSI DIEGO H,LINDA SIEMPRE (LP),2,ARENA | NORMAL,20-10-2018,MACHO,ZAINO DORADILLO,VIOLENCE (USA),POTRA AMAZONA,POTRILLON,LA PASION,491,57
05/02/2024,20:30,UNNMONEY,CONTI SANTIAGO F,11,1200,MAZZEO ALEJANDRO C,A MI QUERIDO VIEJO (AZ),9,ARENA | NORMAL,10-11-2018,MACHO,ZAINO,BLOOD MONEY,UNTOUCHABLE,OCTANO,MARTINEZ FERNANDO DANIEL,516,54.5
05/02/2024,21:00,RACING CRAF,VILLAGRA JUAN C,1,1200,DAVID NAHUEL,BUENA VIDA (R.IV),14,ARENA | NORMAL,02-11-2017,MACHO,TORDILLO,MASTERCRAFTSMAN (IRE),EMBRACING LOVE,LUCKY ROBERTO (USA),FIRMAMENTO,551,58
05/02/2024,21:00,ABERRI EGUNA,PEREYRA WILLIAM,2,1200,FELICIANI GERMAN O,NONA ERME (BV),2,ARENA | NORMAL,27-08-2017,MACHO,ZAINO,TREASURE BEACH (GB),FEARFUL,PERFECTPERFORMANCE (USA),LARDIZABAL ALBERTO ELIDO,426,54.7
05/02/2024,21:00,EL BENDICION SANT,ESPINOZA JOSE DEL JESUS,3,1200,CASCIA FLORENTINO S G,SANTOS (SI),4,ARENA | NORMAL,19-07-2017,MACHO,ZAINO,KING OF SALE,PICK QUADRO,CIMA DE TRIOMPHE (IRE),DON YAYO,509,55.9
05/02/2024,21:00,LINTON,GONCALVES FRANCISCO LEANDRO,4,1200,CARBONETTI DOMINGO A,ESTUDIANTINA (BV),7,ARENA | NORMAL,01-09-2017,MACHO,ZAINO,VIOLENCE (USA),LA IMPRUDENTE,SUNRAY SPIRIT (USA),AVOURNEEN,461,54.7
05/02/2024,21:00,BLOOMING GENIUS,MARTINEZ ELIAS D,5,1200,RUIZ ROBERTO P,HS. LA ARGENTINA (AZ),13,ARENA | NORMAL,10-08-2017,MACHO,ALAZAN,INCURABLE OPTIMIST (USA),MALVA LLERS,LLERS FITZ,EL PARAISO,527,55.1
05/02/2024,21:00,RAPALE,CAPRA PABLO A S,6,1200,VEGA ROLANDO,THE GUANTE (LP),10,ARENA | NORMAL,19-10-2016,HEMBRA,ZAINO,INTERACTION,CHORISTER RYE,CATCHER IN THE RYE (IRE),CHENAUT,464,52.8
05/02/2024,21:00,SILVIDO FIL,BARRUECO RAMIRO R,7,1200,SAUNDERS VICTOR M,EL REJUNTE (Rº),6,ARENA | NORMAL,15-07-2015,MACHO,ZAINO,FILOSO EMPEROR,TEMPLADA JET,COMMANDER JET (USA),LOS DESAGUES,480,57
05/02/2024,21:00,STAR PERICO,BENITEZ VERA JORGE R,8,1200,VEGA ROLANDO,HUMILDE SUEÑO (SL),11,ARENA | NORMAL,29-09-2016,MACHO,ZAINO,STAR RUNNER,BUBUSELA,EMPEROR JONES (USA),LOS DESAGUES,490,53.5
05/02/2024,21:00,BEST MILLION,TECHERA JOSE L,9,1200,BUSTAMANTE PABLO M,EL CICLISMO (AZ),1,ARENA | NORMAL,17-09-2015,MACHO,ZAINO COLORADO,INDY POINT,BEST NUMBER,BERNSTEIN (USA),LA QUEBRADA,508,57
05/02/2024,21:00,SALLY RAY,RECUERO LUCIANO M,10,1200,QUINTANA JORGE O,JORGE SOLO (LP),12,ARENA | NORMAL,03-08-2014,MACHO,ZAINO,RUSSIAN RAY,SALLY LUNN,MUTAKDDIM (USA),OMBU VIEJO,444,53
05/02/2024,21:00,CALL TO DUTY,ALLOIS ALEXIS A,11,1200,GUTIERREZ ROBERTO C,EL PULPO (LP),5,ARENA | NORMAL,17-10-2014,MACHO,ZAINO,CAMPANOLOGIST (USA),CALAMINTHA,HONOUR AND GLORY (USA),SANTA MARIA DE ARARAS,460,54
08/02/2024,15:30,MAGIA ITALIANA,CHAVEZ LUCAS I DE JESUS,1,1000,GONZALEZ LUIS ALBER,TURF-MANIA (LP),4,ARENA | PESADA,05-10-2018,HEMBRA,ALAZAN,MAGIC BLACK,GIRA ITALIANA,IL CORSARO (USA),PERDIGON ALVARO MATIAS,489,53
08/02/2024,15:30,ACT NOW,RECUERO LUCIANO M,2,1000,BARISONE JAVIER H,JACINTO ARAUZ (SR),2,ARENA | PESADA,07-09-2017,HEMBRA,ZAINO,ASIATIC BOY,ATOMIC BOOM,SOUTHERN HALO (USA),ABOLENGO,458,51.1
08/02/2024,15:30,ESPERADA RYE,BAEZ TOMAS D,3,1000,RUVELLI JORGE D,DON TOTO (VT),5,ARENA | PESADA,01-11-2018,HEMBRA,ZAINO,ALIWEN,QUEEN FLURRY,CATCHER IN THE RYE (IRE),SIMONETTI GUIDO ISIDRO,484,53
08/02/2024,15:30,POLAR GIRL,REYNOSO GUILLERMO S,4,1000,IONADI JOSE A,DON MANZANA (Dº),3,ARENA | PESADA,03-10-2018,HEMBRA,ALAZAN,TODO UN AMIGUITO,INTERPOLAR (USA),WOODMAN (USA),SADE EL JURI ROBERTO CARLOS,459,54.4
08/02/2024,15:30,ELECTROGENA,PILIERO SERGIO A,5,1000,PIERRO LEONARDO A,LACYDON,1,ARENA | PESADA,12-08-2017,HEMBRA,ZAINO,SIR WINSALOT,EMPELTRA,HONOUR AND GLORY (USA),MILENARIA,492,55.1
08/02/2024,15:30,MALEVA RYE,FLORES JAIRO E,6,1000,ARROSPIDE ARTURO A,LA GLORIA (AZ),7,ARENA | PESADA,15-09-2018,HEMBRA,ZAINO,FLOWING RYE,MALENA BEST,BEST BOB,LA HERENCIA,419,54.2
08/02/2024,15:30,ROBAS CARIÑO,CANDIA GUTIERREZ ELVIO G,7,1000,GUTIERREZ ROBERTO C,EL MOUFLON,6,ARENA | PESADA,10-10-2018,HEMBRA,ZAINO,LAGO NESS,PRISA SIL,MERLIN SIL,EL CARDENAL,453,57
08/02/2024,16:00,NUR AL DIN,MARTINEZ ELIAS D,1,1600,CABRERA ALFREDO A,LA CALIFORNIA (AZ),3,CESPED | PESADA,03-09-2019,HEMBRA,ZAINO,CITYSCAPE (GB),NULY,ORPEN (USA),LA PROVIDENCIA,462,57.3
08/02/2024,16:00,TRUE LAGOON,RECUERO LUCIANO M,2,1600,MEZA BRUNEL CARLOS A,SEBA Y CAMI (TUC),8,CESPED | PESADA,16-09-2019,HEMBRA,ALAZAN,TRUE CAUSE (USA),LAGUNA PLATEADA,LODE (USA),LOS DURMIENTES,429,53.2
08/02/2024,16:00,VALESKA,BARRIONUEVO SERGIO R E,3,1600,FREN JAVIER A,LA ILUSION (AZ),9,CESPED | PESADA,29-09-2019,HEMBRA,ZAINO,MANIPULATOR (USA),VECINA BELLA,LIZARD ISLAND (USA),LA PASION,492,57.5
08/02/2024,16:00,LUZ AMALI,ALLOIS ALEXIS A,4,1600,GUTIERREZ ROBERTO C,EL MOUFLON,7,CESPED | PESADA,13-07-2019,HEMBRA,ZAINO,LUCKY ISLAND,CAIPORA,NOT FOR SALE,ALBORADA,471,54.3
